Tytuł;Autor;Rodzaj;Data powstania;Wymiary;Data zakupu
Z cyklu Wesołych Świąt (Magda M.);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Maksiu);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Małgorzatka);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Marta);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Michelle);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Mikołaj);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Misiu);Podlaska Dorota;b.d.;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Monika);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Ritta);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Terry);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Urlika);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Wojtek);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Wojtek);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Wojtek);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (bez tytułu);Podlaska Dorota;b.d.;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (bez tytułu);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (bez tytułu);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Układ LV - 79;Wiśniewski Mieczysław;akryl;1990;106x101;25.07.2016
Pomieszane kody;Wolski Lech;olej;1995;97x130cm;25.07.2016
Trzy bitwy: Cheronea 338 p.n.e., Grunwald 1410, Austerlitz 1805;Zakrzewski Włodzimierz;olej;2005;110x110cm;25.07.2016
Niedaleko Łodzi;Zakrzewski Włodzimierz;olej srebrny proszek;2005;110x110cm;25.07.2016
Raj ptaków 1;Ziomek Mieczysław;olej;1993;116x98cm;25.07.2016
Taniec śmierci III;Cander Krzysztof;tempera;1998;70x80cm;25.07.2016
Panorama Lucimska. Cztery pory roku.;Chmielewski Witold;olej, tempera;1978;wielkość instalacji: ;10.05.2017
Panorama Lucimska. Wiosna.;Chmielewski Witold;olej, tempera;1978;150x100cm;10.05.2017
Panorama Lucimska. Lato.;Chmielewski Witold;olej, tempera;1978;150x100cm;10.05.2017
Panorama Lucimska. Jesień.;Chmielewski Witold;olej, tempera;1978;150x100cm;10.05.2017
Panorama Lucimska. Zima.;Chmielewski Witold;olej, tempera;1978;150x100cm;10.05.2017
Zmagania;Kraśniewski Bogdan;olej;1991;100x135cm;03.07.2017
OBRAZ 624. BIAŁA GÓRA I;Lewandowski Palle Paweł;olej;2001;100x80 cm;03.07.2017
Adam;Liegmann Iwona;olej;2005;115x240cm;04.07.2017
Sitowie I;Woźniak Waldemar;olej;1996; 72,7x81cm ;04.07.2017
Opór;Góralski Rafał;akryl;2007;90x60cm;04.07.2017
Spotkanie;Klugowski Piotr;olej;b.d.;b.d.;04.07.2017
K. Kobro prasuje/prasująca [Projekt];b.d.;b.d.;2008;136x124cm;05.07.2017
Miasto Binarne;Gilewicz Wojciech;olej, foliografia;2003;150x50cm, 29,5x39,5cm;05.07.2017
z cyklu Imponderabilia;Tretyn-Zečević Katarzyna;szycie;2012;190x190cm;29.12.2017
z cyklu Imponderabilia;Tretyn-Zečević Katarzyna;szycie;2012;190x190cm;29.12.2017
z cyklu Imponderabilia;Tretyn-Zečević Katarzyna;szycie;2012;190x190cm;29.12.2017
Pan Kopernik w kosmosie [Wątek sporu polsko-niemieckiego];Sobaczyk Marek, Modzelewski Jarosław;akryl;2012-2013;360x230 cm (dyptyk);29.12.2017
Kompozycja z szachownicą II;Kopacz Ireneusz;kolaż;2011;110x190cm (pojedyncze skrzydło dyptyku 110x95cm);29.12.2017
Epidemic;Więckowski Michał;akryl;2013;110x80cm;29.12.2017
Deszcz;Iwanowska-Ludwińska Małgorzata;olej;1998;117x90cm;29.12.2017
Szczeliny światła;Iwanowska-Ludwińska Małgorzata;olej;1998;117x90cm;29.12.2017
Samotność;Mikołajczyk Antoni;fotografia, akryl;lata 60 te XX wieku;95x68cm;29.12.2017
